source_url,brand,model,generation,body_type,launch_year,price_min_inr,price_max_inr,price_min_lakh,price_max_lakh,fuel_type,transmission,engine_cc_min,engine_cc_max,power_bhp_min,power_bhp_max,torque_nm_min,torque_nm_max,mileage_kmpl,range_km,battery_kwh,seating_capacity,airbags,safety_rating,boot_space_litres,ground_clearance_mm,drive_type,n_variants,customer_rating,review_count,scraped_at,price_mid_lakh,engine_cc,power_bhp,torque_nm,fuel_primary,transmission_primary,price_segment,mileage_ice
https://www.cardekho.com/nissan/kicks,Nissan,Kicks,current,Hatchback,2019.0,950000.0,950000.0,9.5,9.5,Diesel / Petrol,Manual / Automatic,1330.0,1498.0,104.55,153.87,142.0,254.0,20.45,,,,,,400.0,210.0,Front,0,4.3,275.0,2026-08-30T05:58:20+00:00,9.5,1414.0,129.21,198.0,Diesel,Both,Mass (8-15L),20.45
https://www.cardekho.com/nissan/magnite,Nissan,Magnite,current,Suv,2024.0,568000.0,1099000.0,5.68,10.99,"Petrol, CNG","Manual, Automatic",999.0,999.0,71.0,71.0,96.0,96.0,24.0,,,5.0,6.0,,366.0,205.0,Front,28,4.5,203.0,2026-08-30T05:58:21+00:00,8.335,999.0,71.0,96.0,CNG,Both,Mass (8-15L),24.0
https://www.cardekho.com/nissan/magnite-2020-2024,Nissan,Magnite 2020-2024,magnite-2020-2024,Suv,2023.0,600000.0,600000.0,6.0,6.0,18.75kmpl,5-speed manual/ 5-speed AMT,999.0,999.0,71.01,71.01,96.0,96.0,,,,5.0,2.0,,,205.0,Front,0,4.3,576.0,2026-08-30T05:58:23+00:00,6.0,999.0,71.01,96.0,,Manual,Entry (<8L),
https://www.cardekho.com/nissan/micra,Nissan,Micra,current,Hatchback,2017.0,599000.0,599000.0,5.99,5.99,Petrol / Diesel,Automatic / Manual,1198.0,1461.0,63.12,75.94,104.0,160.0,23.19,,,5.0,,,,,Front,0,4.1,124.0,2026-08-30T05:58:24+00:00,5.99,1329.5,69.53,132.0,Diesel,Both,Entry (<8L),23.19
https://www.cardekho.com/nissan/micra-active,Nissan,Micra Active,current,Hatchback,2013.0,338000.0,338000.0,3.38,3.38,Petrol,Manual,1198.0,1198.0,67.06,67.06,104.0,104.0,19.69,,,5.0,,,,,Front,0,4.1,80.0,2026-08-30T05:58:25+00:00,4.3875,1198.0,67.06,104.0,Petrol,Manual,Entry (<8L),19.69
https://www.cardekho.com/nissan/tekton,Nissan,Tekton,current,Suv,2026.0,1049000.0,1859000.0,10.49,18.59,Petrol,"Manual, Automatic",999.0,1333.0,98.63,160.77,166.0,280.0,19.4,,,5.0,6.0,5-star NCAP,518.0,,Front,12,4.7,13.0,2026-08-30T05:58:27+00:00,14.54,1166.0,129.7,223.0,Petrol,Both,Mass (8-15L),19.4
https://www.cardekho.com/pmv/eas-e,PMV,EaS E,current,Hatchback,2022.0,479000.0,479000.0,4.79,4.79,Electric,Automatic,,,13.41,13.41,,,,175.675,10.0,2.0,1.0,,30.0,,Front,1,4.5,36.0,2026-08-30T06:41:22+00:00,4.79,,16.369899999999998,,Electric,Automatic,Entry (<8L),
https://www.cardekho.com/porsche/cayenne,Porsche,Cayenne,current,Suv,2024.0,13869000.0,19417000.0,138.69,194.17,Petrol,Automatic,2894.0,2894.0,348.66,348.66,500.0,500.0,10.8,,,4.0,6.0,,,,All,2,4.5,10.0,2026-08-30T05:58:30+00:00,166.43,2894.0,348.66,500.0,Petrol,Automatic,Luxury (50L+),10.8
https://www.cardekho.com/porsche/cayenne-coupe,Porsche,Cayenne Coupe,current,Coupe,2024.0,14441000.0,19541000.0,144.41,195.41,Petrol,Automatic,2894.0,3996.0,348.66,493.0,600.0,660.0,8.0,,,4.0,6.0,,,,All,2,4.2,2.0,2026-08-30T05:58:31+00:00,169.91,3445.0,420.83000000000004,630.0,Petrol,Automatic,Luxury (50L+),8.0
https://www.cardekho.com/porsche/macan-ev,Porsche,Macan EV,current,Luxury,2024.0,12162000.0,17327000.0,121.62,173.27,Electric,Automatic,,,402.0,402.0,,,,621.5,100.0,5.0,8.0,,250.0,,All,3,4.9,3.0,2026-08-30T06:41:24+00:00,147.445,,402.0,,Electric,Automatic,Luxury (50L+),
